question,intent,entities,answer
Could you tell me Do you provide branded bottles? in Pune,branding_query,Pune,We offer logo printing on water bottles.
Please tell me How long does delivery take? right now,delivery_query,,Delivery usually takes 2 hours.
Please help me with Can I get water delivery today? for home delivery,delivery_query,,"Yes, we provide delivery across Pune."
May I know Hey in Pune,greeting,Pune,Greetings from Gagangiri Foods.
I want to know Is the water safe to drink? for business use,quality_query,,Our water goes through advanced purification.
Give information about Do you have customer support? for business use,contact_query,,You can contact us through our website.
Please tell me Do you provide delivery in Pune? in Pune,delivery_query,Pune,"Yes, we provide delivery across Pune."
I want to know Can I call for orders? today,contact_query,,Customer support is available during business hours.
May I know Namaste in Pune,greeting,Pune,Welcome to our AI assistant.
Could you tell me Can I get water delivery today? quickly,delivery_query,,Delivery usually takes 2 hours.
Can you explain Hi today,greeting,,Hi! How can we help you today?
Please help me with Do you have customer support? in Pune,contact_query,Pune,Customer support is available during business hours.
I want to know Is same day delivery available? for home delivery,delivery_query,,Same day delivery is available.
I want to know Hey for business use,greeting,,Hello! Welcome to Gagangiri Foods.
Could you tell me Can I call for orders? for home delivery,contact_query,,Please use the contact form for assistance.
Give information about Can I customize water bottles? in Pune,branding_query,Pune,"Yes, we provide private labeling services."
I want to know How much is the 20L jar? for business use,price_query,20L Jar,The 20L refill jar costs approximately ₹40.
Can you explain Can you help me? in Pune,greeting,Pune,Greetings from Gagangiri Foods.
May I know Is same day delivery available? today,delivery_query,,"Yes, we provide delivery across Pune."
Can you explain Namaste for business use,greeting,,Welcome to our AI assistant.
Can you explain Is same day delivery available? in Pune,delivery_query,Pune,"Yes, we provide delivery across Pune."
May I know Can I call for orders? in PCMC,contact_query,PCMC,Customer support is available during business hours.
I want to know Good evening today,greeting,,Hello! Welcome to Gagangiri Foods.
Could you tell me Do you print logos on bottles? today,branding_query,,"Yes, we provide private labeling services."
Please help me with Is same day delivery available? in Pune,delivery_query,Pune,Delivery usually takes 2 hours.
I want to know How do I place an order? for home delivery,contact_query,,You can contact us through our website.
Please tell me How long does delivery take? for business use,delivery_query,,Same day delivery is available.
Please tell me Is the water safe to drink? in Pune,quality_query,Pune,We use multi-stage filtration and RO purification.
Please tell me Can I call for orders? right now,contact_query,,Customer support is available during business hours.
Could you tell me Good evening in PCMC,greeting,PCMC,Welcome to our AI assistant.
Please help me with How long does delivery take? for home delivery,delivery_query,,"Yes, we provide delivery across Pune."
May I know Do you print logos on bottles? for home delivery,branding_query,,"Yes, we provide private labeling services."
Please tell me Can I customize water bottles? quickly,branding_query,,Custom branding is available for bulk orders.
Can you explain How do I place an order? in Pune,contact_query,Pune,You can contact us through our website.
Can you explain Can I call for orders? right now,contact_query,,You can contact us through our website.
Can you explain Do you print logos on bottles? in Pune,branding_query,Pune,"Yes, we provide private labeling services."
I want to know Do you offer private labeling? today,branding_query,,We offer logo printing on water bottles.
Can you explain Hello in Pune,greeting,Pune,Greetings from Gagangiri Foods.
Could you tell me Do you print logos on bottles? today,branding_query,,We offer logo printing on water bottles.
Could you tell me Namaste quickly,greeting,,Greetings from Gagangiri Foods.
Could you tell me Do you have customer support? quickly,contact_query,,Please use the contact form for assistance.
I want to know Can you help me? in PCMC,greeting,PCMC,Hello! Welcome to Gagangiri Foods.
May I know Do you provide delivery in Pune? in PCMC,delivery_query,"Pune, PCMC","Yes, we provide delivery across Pune."
Please tell me How long does delivery take? for home delivery,delivery_query,,"Yes, we provide delivery across Pune."
May I know Do you provide delivery in Pune? quickly,delivery_query,Pune,We deliver 20L jars and bottled water.
Please tell me Can I get water delivery today? for home delivery,delivery_query,,"Yes, we provide delivery across Pune."
Please tell me How do I place an order? in Pune,contact_query,Pune,You can contact us through our website.
Please help me with Can I call for orders? for business use,contact_query,,You can contact us through our website.
Please tell me Can you help me? in Pune,greeting,Pune,Welcome to our AI assistant.
I want to know Do you provide branded bottles? quickly,branding_query,,We offer logo printing on water bottles.
May I know Is support available? right now,greeting,,Hi! How can we help you today?
I want to know Do you provide delivery in Pune? for home delivery,delivery_query,Pune,"Yes, we provide delivery across Pune."
Please tell me Do you provide delivery in Pune? quickly,delivery_query,Pune,Same day delivery is available.
Please tell me Can you help me? in PCMC,greeting,PCMC,Hello! Welcome to Gagangiri Foods.
Could you tell me Do you have customer support? right now,contact_query,,Please use the contact form for assistance.
Give information about Good evening in PCMC,greeting,PCMC,Hi! How can we help you today?
May I know Do you use RO filtration? for business use,quality_query,,Our water goes through advanced purification.
Please tell me Can I call for orders? quickly,contact_query,,Customer support is available during business hours.
Please help me with Do you have customer support? today,contact_query,,Customer support is available during business hours.
Please tell me Good evening for home delivery,greeting,,Greetings from Gagangiri Foods.
May I know Can I get water delivery today? for business use,delivery_query,,Same day delivery is available.
Could you tell me Hey in Pune,greeting,Pune,Welcome to our AI assistant.
Please help me with Is same day delivery available? for home delivery,delivery_query,,We deliver 20L jars and bottled water.
Please help me with Is your water purified? in PCMC,quality_query,PCMC,We use multi-stage filtration and RO purification.
